date,WSJ_NMPU_LM,WSJ_NMPU_ML,NYT_NMPU_LM,NYT_NMPU_ML,WSJ_INFU_LM,WSJ_INFU_ML,NYT_INFU_LM,NYT_INFU_ML,EPU,VIX,MPU_MKT,MOVE,WSJ_INFU_LM_weighted,WSJ_INFU_ML_weighted,WSJ_INFU_LM_screened,WSJ_INFU_ML_screened,NYT_INFU_LM_weighted,NYT_INFU_ML_weighted,NYT_INFU_LM_screened,NYT_INFU_ML_screened,WSJ_GSCU_LM,WSJ_GSCU_ML,NYT_GSCU_LM,NYT_GSCU_ML,NYT_CREDIT_RATING_MAI,NYT_GDP_MAI,NYT_HSNG_MAI,NYT_INFL_MAI,NYT_MONETARY_MAI,NYT_OIL_MAI,NYT_UNEMP_MAI,NYT_USD_MAI,WSJ_CREDIT_RATING_MAI,WSJ_GDP_MAI,WSJ_HSNG_MAI,WSJ_INFL_MAI,WSJ_MONETARY_MAI,WSJ_OIL_MAI,WSJ_UNEMP_MAI,WSJ_USD_MAI
1982-08-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.05733945,0.172018349,0.210244648,0.898318043,1.337920489,1.949541284,1.22324159,0.01911315,,,,,,,,
1982-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.104615443,0.230153975,0.083692355,1.046154431,1.046154431,1.401846938,1.422770027,0.041846177,,,,,,,,
1982-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.086490227,0.224874589,0.138384363,1.418439716,1.297353399,1.089776855,2.335236118,0.017298045,,,,,,,,
1982-11-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.162138758,0.385079549,0.202673447,1.256575371,1.438981474,1.560585542,2.351011985,0.020267345,,,,,,,,
1982-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.227542541,0.268913912,0.289599597,1.034284275,1.365255243,1.820340324,1.510055042,0.020685686,,,,,,,,
1983-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.091617041,0.320659643,0.091617041,1.465872652,1.694915254,1.694915254,1.580393953,0.02290426,,,,,,,,
1983-02-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.09643899,0.241097476,0.048219495,1.060828893,1.735901825,2.338645514,1.133158136,0.048219495,,,,,,,,
1983-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.14858841,0.275949904,0.084907663,1.294841859,0.997665039,2.504776056,1.018891955,0,,,,,,,,
1983-04-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.043813895,0.175255581,0.043813895,0.876277905,0.963905696,0.985812643,0.766743167,0.021906948,,,,,,,,
1983-05-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.105756011,0.105756011,0.148058416,0.951804101,0.761443281,1.269072135,0.65568727,0,,,,,,,,
1983-06-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.133988388,0.334970969,0.156319786,1.071907101,1.362215275,1.205895489,0.848593122,0,,,,,,,,
1983-07-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.088813703,0.244237682,0.111017128,0.66610277,1.576443223,0.843730176,0.688306196,0.044406851,,,,,,,,
1983-08-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.11128422,0.089027376,0.33385266,1.023814823,1.357667483,0.890273759,0.756732695,0.044513688,,,,,,,,
1983-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.140588555,0.351471387,0.187451406,1.077845587,1.335591271,1.030982735,0.632648497,0.046862852,,,,,,,,
1983-10-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.058513751,0.097522918,0.136532085,0.936220012,0.741174176,1.014238346,0.507119173,0.019504584,,,,,,,,
